time,signal
3.270000000000000129e-01,3.217300002755968391e-01
3.280000000000000138e-01,2.832762770505951599e-01
3.290000000000000147e-01,2.278132729690488523e-01
3.300000000000000155e-01,2.117723309184978697e-01
3.310000000000000164e-01,1.467480452695408832e-01
3.320000000000000173e-01,1.592129315916550880e-01
3.330000000000000182e-01,1.260655110369883758e-01
3.340000000000000191e-01,7.124511772378960828e-02
3.350000000000000200e-01,1.297607070104488947e-01
3.360000000000000209e-01,1.312551682482046567e-01
3.370000000000000218e-01,1.135903736460491115e-01
3.380000000000000226e-01,1.156662250675903475e-01
3.390000000000000235e-01,1.540902398020874142e-01
3.400000000000000244e-01,1.423483133065438777e-01
3.410000000000000253e-01,2.194839894882917031e-01
3.420000000000000262e-01,2.380095631676542312e-01
3.430000000000000271e-01,2.720076113392353445e-01
3.440000000000000280e-01,2.540602451446917209e-01
3.450000000000000289e-01,2.332036287044987610e-01
3.460000000000000298e-01,2.438748604828060162e-01
3.470000000000000306e-01,2.346255202344436630e-01
3.480000000000000315e-01,2.243560900209465303e-01
3.490000000000000324e-01,1.489134142179181219e-01
3.500000000000000333e-01,1.110656315909638592e-01
3.510000000000000342e-01,1.328360648091348739e-01
3.519999999999999796e-01,5.959872308400789714e-02
3.529999999999999805e-01,7.666845250660081490e-02
3.539999999999999813e-01,2.707690135484774885e-02
3.549999999999999822e-01,-1.845527305051053446e-03
3.559999999999999831e-01,1.233650072437759981e-02
3.569999999999999840e-01,5.265312766286281421e-02
3.579999999999999849e-01,2.741389707648101554e-02
3.589999999999999858e-01,8.928535149192459719e-02
3.599999999999999867e-01,8.804263207137562330e-02
3.609999999999999876e-01,1.060820435777486692e-01
3.619999999999999885e-01,1.562442837693093778e-01
3.629999999999999893e-01,1.752965233278225843e-01
3.639999999999999902e-01,1.568432530391172530e-01
3.649999999999999911e-01,1.794285662738848153e-01
3.659999999999999920e-01,1.843040915086567033e-01
3.669999999999999929e-01,1.491044074103046457e-01
3.679999999999999938e-01,1.206759311042492205e-01
3.689999999999999947e-01,9.044997019097236746e-02
3.699999999999999956e-01,5.573635192673836308e-02
3.709999999999999964e-01,3.621546517473721305e-02
3.719999999999999973e-01,-4.143087920356836040e-02
3.729999999999999982e-01,-7.622512018511018450e-02
3.739999999999999991e-01,-6.288625297561550864e-02
3.750000000000000000e-01,-8.135960672192558973e-02
3.760000000000000009e-01,-5.177589063788221729e-02
3.770000000000000018e-01,-7.004361276490546351e-02
3.780000000000000027e-01,-2.559030412326050719e-02
3.790000000000000036e-01,-2.792221171724564022e-02
3.800000000000000044e-01,9.975184502616986013e-03
3.810000000000000053e-01,1.881076834564831407e-02
3.820000000000000062e-01,3.600797410632490536e-02
3.830000000000000071e-01,6.702413425460673757e-02
3.840000000000000080e-01,1.094564644028094003e-01
3.850000000000000089e-01,1.292603524554914451e-01
3.860000000000000098e-01,8.028973342333949048e-02
3.870000000000000107e-01,6.112850641133536073e-02
3.880000000000000115e-01,5.955929182961176849e-02
3.890000000000000124e-01,3.415587398752314985e-02
3.900000000000000133e-01,-4.077086279380998796e-02
3.910000000000000142e-01,-2.456335382389361263e-02
3.920000000000000151e-01,-1.165790649438448456e-01
3.930000000000000160e-01,-1.406219821106879375e-01
3.940000000000000169e-01,-8.552957091761384523e-02
3.950000000000000178e-01,-1.536456187685993346e-01
3.960000000000000187e-01,-1.474582468018395542e-01
3.970000000000000195e-01,-1.097420794596840332e-01
3.980000000000000204e-01,-7.838554305080350226e-02
3.990000000000000213e-01,-9.250207144692694505e-02
4.000000000000000222e-01,-7.898102552871801019e-02
4.010000000000000231e-01,-3.049658665191325169e-02
4.020000000000000240e-01,-4.628121125705784294e-02
4.030000000000000249e-01,1.993892934849195164e-03
4.040000000000000258e-01,2.796279573923624029e-02
4.050000000000000266e-01,3.475801987179796826e-02
4.060000000000000275e-01,-8.550341944347103484e-03
4.070000000000000284e-01,-2.743565826661281681e-02
4.080000000000000293e-01,-6.730091506924809619e-02
4.090000000000000302e-01,-4.081644552614279581e-02
4.100000000000000311e-01,-9.983725579317688503e-02
4.110000000000000320e-01,-1.298127789011166155e-01
4.120000000000000329e-01,-1.663761270264267067e-01
4.130000000000000338e-01,-2.036159685370965144e-01
4.140000000000000346e-01,-2.457027028860584439e-01
4.150000000000000355e-01,-2.055674285980620131e-01
4.160000000000000364e-01,-2.421861957460308412e-01
4.169999999999999818e-01,-2.121250216368684438e-01
4.179999999999999827e-01,-1.981972203943370148e-01
4.189999999999999836e-01,-1.664742275187010567e-01
4.199999999999999845e-01,-1.119246253623545351e-01
4.209999999999999853e-01,-9.868879591280996233e-02
4.219999999999999862e-01,-1.013400486710576975e-01
4.229999999999999871e-01,-9.409316944865775412e-02
4.239999999999999880e-01,-2.220145399640104100e-02
4.249999999999999889e-01,-9.981763579283889354e-02
4.259999999999999898e-01,-1.936639632536439615e-02
4.269999999999999907e-01,-6.655311457877412240e-02
4.279999999999999916e-01,-9.103119915122687145e-02
4.289999999999999925e-01,-1.468660366082882307e-01
4.299999999999999933e-01,-1.769204502216036590e-01
4.309999999999999942e-01,-2.247203497008029849e-01
4.319999999999999951e-01,-2.242643434447781914e-01
4.329999999999999960e-01,-2.849867768837227588e-01
4.339999999999999969e-01,-2.923424890888135508e-01
4.349999999999999978e-01,-3.044445687336729267e-01
4.359999999999999987e-01,-3.200739038273957560e-01
4.369999999999999996e-01,-2.606776403829728084e-01
4.380000000000000004e-01,-2.640599941077033108e-01
4.390000000000000013e-01,-2.639955796751032868e-01
4.400000000000000022e-01,-2.307717941662816019e-01
4.410000000000000031e-01,-1.670199858517466274e-01
4.420000000000000040e-01,-1.388664139192106184e-01
4.430000000000000049e-01,-1.264429842062093634e-01
4.440000000000000058e-01,-1.801965453249513294e-01
4.450000000000000067e-01,-1.241340128441540125e-01
4.460000000000000075e-01,-1.183196404355150028e-01
4.470000000000000084e-01,-1.609894159562983984e-01
4.480000000000000093e-01,-1.745639202924827438e-01
4.490000000000000102e-01,-2.017997878498016817e-01
4.500000000000000111e-01,-2.661942125966195727e-01
4.510000000000000120e-01,-2.911090690986470331e-01
4.520000000000000129e-01,-3.372002266590763964e-01
4.530000000000000138e-01,-3.830584765393497682e-01
4.540000000000000147e-01,-3.262790054500656067e-01
4.550000000000000155e-01,-3.672817057602507651e-01
4.560000000000000164e-01,-3.657676171925482445e-01
4.570000000000000173e-01,-3.292981697949084463e-01
4.580000000000000182e-01,-2.728729663626796587e-01
4.590000000000000191e-01,-3.091189076860806906e-01
4.600000000000000200e-01,-2.675356834750979296e-01
4.610000000000000209e-01,-2.517957255430025576e-01
4.620000000000000218e-01,-2.448611507471919468e-01
4.630000000000000226e-01,-2.068566636644557644e-01
4.640000000000000235e-01,-1.964029087548115338e-01
4.650000000000000244e-01,-2.337992991482364669e-01
4.660000000000000253e-01,-1.927382045688834922e-01
4.670000000000000262e-01,-2.419735682750546735e-01
4.680000000000000271e-01,-2.556075866083449277e-01
4.690000000000000280e-01,-2.772653356915604217e-01
4.700000000000000289e-01,-3.274613500846821901e-01
4.710000000000000298e-01,-3.164713467829191051e-01
4.720000000000000306e-01,-4.114900312963178375e-01
4.730000000000000315e-01,-4.111775006406861444e-01
4.740000000000000324e-01,-4.301573775430989066e-01
4.750000000000000333e-01,-4.186606896134155154e-01
4.760000000000000342e-01,-4.260879529666678489e-01
4.770000000000000351e-01,-4.211537246297616943e-01
4.780000000000000360e-01,-4.266484985053231593e-01
4.790000000000000369e-01,-3.585260697424828558e-01
4.799999999999999822e-01,-3.299726149834527056e-01
4.809999999999999831e-01,-3.243396574617559702e-01
4.819999999999999840e-01,-3.030569973356790903e-01
4.829999999999999849e-01,-3.141879660471611491e-01
4.839999999999999858e-01,-3.000118369519511607e-01
4.849999999999999867e-01,-2.827777949260763535e-01
4.859999999999999876e-01,-2.916965759095069832e-01
4.869999999999999885e-01,-2.757820584377288498e-01
4.879999999999999893e-01,-3.349329307510793829e-01
4.889999999999999902e-01,-3.381156081530546365e-01
4.899999999999999911e-01,-3.795817910334584044e-01
4.909999999999999920e-01,-4.367459178643138817e-01
4.919999999999999929e-01,-4.629849599461041687e-01
4.929999999999999938e-01,-4.821109017801256114e-01
4.939999999999999947e-01,-4.750454420573138048e-01
4.949999999999999956e-01,-4.853154689752645634e-01
4.959999999999999964e-01,-4.816021311261072801e-01
4.969999999999999973e-01,-4.781924827390313104e-01
4.979999999999999982e-01,-4.373521683086915024e-01
4.989999999999999991e-01,-4.317426731439161225e-01
5.000000000000000000e-01,-4.167536778990176827e-01
5.010000000000000009e-01,-3.897387448692975487e-01
5.020000000000000018e-01,-3.667069671866844960e-01
5.030000000000000027e-01,-3.518920339950866172e-01
5.040000000000000036e-01,-3.140237543438516576e-01
5.050000000000000044e-01,-3.184950191639969175e-01
5.060000000000000053e-01,-3.266014738030235121e-01
5.070000000000000062e-01,-3.563658707374838253e-01
5.080000000000000071e-01,-3.410160738234344624e-01
5.090000000000000080e-01,-3.904887929872536967e-01
5.100000000000000089e-01,-4.276801368423587268e-01
5.110000000000000098e-01,-4.629611114638244596e-01
5.120000000000000107e-01,-4.926636879278089021e-01
5.130000000000000115e-01,-5.473168661962799497e-01
5.140000000000000124e-01,-5.227399950259088435e-01
5.150000000000000133e-01,-5.214580812580876801e-01
5.160000000000000142e-01,-5.512015393742875080e-01
5.170000000000000151e-01,-5.049158892416126809e-01
5.180000000000000160e-01,-5.112529390293722997e-01
5.190000000000000169e-01,-4.736695980094819958e-01
5.200000000000000178e-01,-4.664390150147628700e-01
5.210000000000000187e-01,-4.223678906793978949e-01
5.220000000000000195e-01,-3.838732850186873380e-01
5.230000000000000204e-01,-3.552173845696386389e-01
5.240000000000000213e-01,-3.931654195392569884e-01
5.250000000000000222e-01,-3.531410734958371211e-01
5.260000000000000231e-01,-3.563224915032617290e-01
5.270000000000000240e-01,-3.837245872720131956e-01
5.280000000000000249e-01,-3.942207746126688561e-01
5.290000000000000258e-01,-4.291307833992222265e-01
5.300000000000000266e-01,-5.170111358089953812e-01
5.310000000000000275e-01,-4.817458492304604878e-01
5.320000000000000284e-01,-5.520708683604836908e-01
5.330000000000000293e-01,-5.650189976876029974e-01
5.340000000000000302e-01,-5.816162581811561427e-01
5.350000000000000311e-01,-5.773601328459424531e-01
5.360000000000000320e-01,-5.807895361329395989e-01
5.370000000000000329e-01,-5.449957310793316356e-01
5.380000000000000338e-01,-5.261058079789724395e-01
5.390000000000000346e-01,-4.918545334010496206e-01
5.400000000000000355e-01,-4.852195146109925528e-01
5.410000000000000364e-01,-4.329257601643161646e-01
5.420000000000000373e-01,-4.293507059107001811e-01
5.430000000000000382e-01,-4.118060572633013838e-01
5.440000000000000391e-01,-4.169457817618548168e-01
5.450000000000000400e-01,-3.766596920828407802e-01
5.460000000000000409e-01,-3.572311732391424410e-01
5.470000000000000417e-01,-4.011669761659789057e-01
5.480000000000000426e-01,-4.368126060224505336e-01
5.490000000000000435e-01,-4.493249784515170875e-01
5.500000000000000444e-01,-4.910244652714423341e-01
5.510000000000000453e-01,-4.855728238113599660e-01
5.520000000000000462e-01,-5.388434097588060689e-01
5.530000000000000471e-01,-5.558622982721138639e-01
5.540000000000000480e-01,-6.043376622390187469e-01
5.550000000000000488e-01,-5.697575512038124401e-01
5.560000000000000497e-01,-5.660926974673901046e-01
5.570000000000000506e-01,-5.482033106314189164e-01
5.580000000000000515e-01,-5.769569620113538244e-01
5.590000000000000524e-01,-5.413455791333349199e-01
5.600000000000000533e-01,-4.863253377078348150e-01
5.610000000000000542e-01,-4.505110595876778978e-01
5.620000000000000551e-01,-4.220665122412061154e-01
5.630000000000000560e-01,-4.153123186622205698e-01
5.640000000000000568e-01,-3.998125199195977086e-01
5.650000000000000577e-01,-3.604153697336569540e-01
5.660000000000000586e-01,-4.056709007903264164e-01
5.670000000000000595e-01,-4.113594055305812014e-01
5.680000000000000604e-01,-4.607126523688188646e-01
5.690000000000000613e-01,-4.927562048874218892e-01
5.700000000000000622e-01,-4.723708541023936558e-01
5.710000000000000631e-01,-5.867559040784872115e-01
5.720000000000000639e-01,-5.938118563038095044e-01
5.730000000000000648e-01,-5.517935312052442143e-01
